14634343,14634343,RI,"50 Colonial Ave, NEW",50 Colonial Ave,Cranston,02910,"$252,500",09-28-2021,0,NEW,,,,,"NEW, 09-28-2021, 252500",,,09-30-2021 03:06 AM,Providence,,,SalesRabbit
14598793,14598793,RI,"34 Waterman Ave, NEW",34 Waterman Ave,Cranston,02910,"$275,000",09-24-2021,0,NEW,,,,,"NEW, 09-24-2021, 275000",,,09-26-2021 03:03 AM,Providence,,,SalesRabbit
14499688,14499688,RI,"115 Intervale Rd, NEW",115 Intervale Rd,Cranston,02910,"$342,000",09-15-2021,0,NEW,,,,,"NEW, 09-15-2021, 342000",,,09-16-2021 03:04 AM,Providence,,,SalesRabbit
14458081,14458081,RI,"125 Ferncrest Ave, NEW",125 Ferncrest Ave,Cranston,02905,"$275,000",09-09-2021,0,NEW,,,,,"NEW, 09-09-2021, 275000",,,09-11-2021 03:04 AM,Providence,,,SalesRabbit
14446522,14446522,RI,"16 Shortway Rd, NEW",16 Shortway Rd,Cranston,02910,"$320,000",09-09-2021,0,NEW,,,,,"NEW, 09-09-2021, 320000",,,09-10-2021 03:03 AM,Providence,,,SalesRabbit
14406682,14406682,RI,"463 Pontiac Ave, NEW",463 Pontiac Ave,Cranston,02910,"$350,000",09-03-2021,0,NEW,,,,,"NEW, 09-03-2021, 350000",,,09-04-2021 03:04 AM,Providence,,,SalesRabbit
14393432,14393432,RI,"88 Lakeland Rd, NEW",88 Lakeland Rd,Cranston,02910,"$283,500",09-02-2021,0,NEW,,,,,"NEW, 09-02-2021, 283500",,,09-03-2021 03:04 AM,Providence,,,SalesRabbit
14307330,14307330,RI,"230 Alabama Ave, NEW",230 Alabama Ave,Providence,02905,"$260,000",08-23-2021,0,NEW,,,,,"NEW, 08-23-2021, 260000",,,08-27-2021 03:02 AM,Providence,,,SalesRabbit
13743435,13743435,RI,"261 Oconnor St, NEW",261 Oconnor St,Providence,02905,"$156,000",06-24-2021,0,NEW,,,,,"NEW, 06-24-2021, 156000",,,06-29-2021 12:11 AM,Boston,,,SalesRabbit
14702412,14702412,RI,"100 Rutherglen Ave, NH",100 Rutherglen Ave,Providence,02907,"$303,000",10-04-2021,1,NH,10-15-2021,NH,,"NEW, 10-04-2021, 303000","NH, 10-04-2021, 303000, NEW, 10-04-2021, 303000",,Avery Bouchard 39819,10-06-2021 03:06 AM,Providence,,,SalesRabbit
14690532,14690532,RI,"108 Fairweather Ave, NH",108 Fairweather Ave,Cranston,02910,"$300,000",10-04-2021,3,NH,10-11-2021,NH,,"NEW, 10-04-2021, 300000","NH, 10-04-2021, 300000, NEW, 10-04-2021, 300000",,Avery Bouchard 39819,10-05-2021 03:04 AM,Providence,,,SalesRabbit
14700813,14700813,RI,"72 Moorland Ave, NH",72 Moorland Ave,Cranston,02905,"$290,000",10-01-2021,4,NH,10-12-2021,NH,,"NEW, 10-01-2021, 290000","NH, 10-01-2021, 290000, NEW, 10-01-2021, 290000",,Avery Bouchard 39819,10-06-2021 03:04 AM,Providence,,,SalesRabbit
